"wpid_random","wgt","account","sex","educ","inc_q","inlf","age_g","internetaccess"
205173083,1.01929431697793,1,"Male","tertiary","Richest 20%",1,"15-29",1
154234169,0.582611496278741,0,"Male","secondary","Middle 20%",1,"30-44",1
175654553,0.662306067020853,1,"Male","secondary","Fourth 20%",0,"15-29",0
181286966,1.55954449501384,1,"Female","primary","Richest 20%",1,"15-29",0
160697531,0.329557091544378,1,"Male","secondary","Middle 20%",1,"30-44",1
145251964,0.60592756851588,1,"Female","tertiary","Richest 20%",1,"30-44",1
130517053,0.623529322231784,1,"Female","primary","Second 20%",1,"45-59",0
178392113,2.41692670492018,0,"Female","secondary","Richest 20%",1,"30-44",0
136474177,1.43172945436605,1,"Female","primary","Fourth 20%",1,"60 and older",0
162421619,0.700008658808763,1,"Female","tertiary","Second 20%",1,"15-29",1
172964532,0.937166601771275,0,"Male","primary","Fourth 20%",1,"30-44",0
199669565,0.48369621698178,1,"Male","secondary","Middle 20%",1,"30-44",0
129342337,0.217430070409543,0,"Male","secondary","Richest 20%",1,"15-29",1
158768698,0.86925918666953,1,"Male","primary","Poorest 20%",0,"45-59",0
198895828,0.217430070409543,1,"Male","secondary","Fourth 20%",1,"15-29",0
187093810,0.217430070409543,1,"Male","secondary","Fourth 20%",1,"30-44",1
159804819,0.217430070409543,1,"Male","secondary","Fourth 20%",0,"15-29",1
147984255,0.95652078449897,1,"Male","secondary","Fourth 20%",1,"45-59",1
143192052,1.15286688351535,1,"Female","secondary","Poorest 20%",0,"15-29",0
153922695,1.19281498037057,1,"Male","secondary","Richest 20%",0,"15-29",1
121694773,0.946089884759374,1,"Male","secondary","Richest 20%",1,"45-59",1
178431524,1.53248554778453,0,"Male","primary","Second 20%",1,"15-29",0
187079216,0.217430070409543,0,"Male","tertiary","Richest 20%",0,"45-59",0
177129871,0.532017090522336,1,"Male","secondary","Richest 20%",1,"30-44",1
149170081,0.833926364166797,1,"Male","primary","Richest 20%",1,"15-29",1
115210857,0.732077714170641,1,"Male","primary","Middle 20%",0,"15-29",0
137653432,0.935293983347676,1,"Female","primary","Fourth 20%",0,"45-59",0
158810991,0.552062658704165,0,"Female","secondary","Fourth 20%",0,"45-59",0
117199670,0.775720868176679,1,"Male","secondary","Middle 20%",1,"30-44",0
123099888,0.217430070409543,1,"Male","secondary","Fourth 20%",1,"15-29",0
176091588,0.232786285689355,1,"Male","secondary","Second 20%",0,"15-29",0
179464809,0.217827567767936,0,"Male","secondary","Fourth 20%",1,"15-29",0
135566527,0.634050648136393,1,"Male","secondary","Richest 20%",0,"30-44",1
114399406,1.3038887800043,1,"Male","primary","Fourth 20%",0,"60 and older",0
181607569,1.31020599937701,1,"Female","secondary","Richest 20%",0,"15-29",0
160995097,0.926464505205691,1,"Male","primary","Middle 20%",1,"45-59",0
194486993,0.987581568175218,1,"Male","primary","Middle 20%",1,"15-29",1
184937825,0.954962624968511,1,"Female","secondary","Fourth 20%",1,"15-29",1
201719793,1.14624408703047,1,"Female","primary","Poorest 20%",0,"30-44",0
164063893,1.12936458203949,0,"Male","secondary","Poorest 20%",0,"15-29",0
163524202,0.921072747992797,1,"Female","primary","Richest 20%",0,"15-29",1
140446990,2.12900206296556,1,"Female","primary","Richest 20%",1,"30-44",0
182339172,0.442206542798092,1,"Female","tertiary","Poorest 20%",1,"15-29",0
116325897,2.41692670492018,1,"Male","primary","Second 20%",0,"60 and older",0
185250845,0.95574181383447,1,"Male","secondary","Richest 20%",1,"15-29",1
154947500,0.720331091296546,1,"Male","primary","Middle 20%",0,"30-44",1
153432782,1.25332475036245,0,"Male","primary","Middle 20%",1,"15-29",0
111234491,1.69075003710227,0,"Male","primary","Poorest 20%",1,"15-29",1
135054166,1.07765470064082,1,"Female","primary","Poorest 20%",1,"30-44",0
128684581,1.57110679334451,1,"Male","secondary","Fourth 20%",0,"15-29",1
157274926,1.2687308377813,1,"Female","primary","Poorest 20%",0,"45-59",0
209715834,0.703276761331556,1,"Male","secondary","Middle 20%",1,"60 and older",0
186173279,0.693655516467481,1,"Female","primary","Middle 20%",0,"15-29",0
184875874,1.52453305010648,1,"Female","secondary","Fourth 20%",0,"15-29",0
189557200,1.3125791437117,0,"Female","primary","Poorest 20%",0,"60 and older",0
210189553,1.12060660709604,0,"Male","primary","Middle 20%",1,"15-29",0
181688515,0.220220682504859,0,"Male","secondary","Middle 20%",1,"15-29",1
119087608,1.13865499949889,1,"Male","primary","Poorest 20%",1,"30-44",0
172149504,2.41692670492018,1,"Female","primary","Poorest 20%",0,"15-29",0
134762523,1.71891388097275,1,"Female","primary","Fourth 20%",1,"45-59",0
193758818,0.73207771417064,1,"Male","primary","Middle 20%",1,"30-44",0
148837651,0.524256438608915,1,"Male","tertiary","Richest 20%",0,"15-29",1
191888698,0.500118085574247,1,"Female","primary","Fourth 20%",0,"30-44",0
147747088,1.62227736533778,1,"Female","primary","Poorest 20%",1,"30-44",0
194864042,0.412326583035876,1,"Male","secondary","Fourth 20%",1,"30-44",1
116718358,0.512830593535775,1,"Female","secondary","Second 20%",1,"30-44",0
185738421,2.41692670492018,1,"Female","primary","Second 20%",1,"30-44",0
154831238,0.669652553091512,1,"Female","primary","Poorest 20%",0,"15-29",0
117028956,0.297170706794126,1,"Male","secondary","Second 20%",0,"15-29",1
160084898,1.37786404922982,0,"Female","primary","Richest 20%",0,"15-29",0
117158160,0.837798474171392,1,"Male","primary","Middle 20%",0,"30-44",0
140107451,0.728659102180876,1,"Female","primary","Poorest 20%",1,"15-29",0
114466533,0.734210736407751,0,"Female","primary","Fourth 20%",1,"45-59",0
144876339,0.739663686331321,0,"Female","secondary","Richest 20%",0,"45-59",0
139455660,1.29820892644277,1,"Female","primary","Poorest 20%",1,"30-44",0
205724007,2.41692670492018,0,"Female","primary","Fourth 20%",0,"15-29",0
120710030,0.683774124714367,1,"Female","secondary","Second 20%",1,"15-29",0
210770827,1.08120069424229,1,"Male","primary","Poorest 20%",1,"30-44",0
142008706,0.341887062357183,0,"Female","secondary","Richest 20%",0,"15-29",0
209767029,1.09175171627978,1,"Male","primary","Poorest 20%",0,"30-44",0
119352738,0.873728597324734,1,"Male","primary","Middle 20%",0,"60 and older",0
167507140,2.12729425028998,1,"Male","primary","Fourth 20%",0,"45-59",1
147017052,0.748203282795897,1,"Female","primary","Middle 20%",1,"15-29",0
113053739,1.45871557157268,1,"Female","primary","Poorest 20%",0,"15-29",0
186368431,1.64444303756887,1,"Male","primary","Poorest 20%",1,"30-44",0
147296027,0.428911295788471,1,"Male","secondary","Fourth 20%",0,"15-29",1
163546429,1.16850092187733,1,"Female","primary","Fourth 20%",0,"15-29",1
115249949,1.06031615028482,0,"Female","primary","Richest 20%",0,"45-59",0
114100402,0.937441848184976,1,"Female","primary","Middle 20%",1,"30-44",0
145159277,1.09638255229663,0,"Male","primary","Richest 20%",1,"15-29",0
130586799,0.871353541732721,1,"Male","primary","Fourth 20%",0,"30-44",0
168740064,0.217430070409543,0,"Male","tertiary","Fourth 20%",1,"30-44",0
195716534,2.28901908845097,1,"Male","primary","Poorest 20%",1,"30-44",0
197614502,1.52832544937396,1,"Female","primary","Second 20%",1,"30-44",0
121315866,0.785553396672256,0,"Male","secondary","Richest 20%",1,"15-29",0
112036151,1.4911193596057,1,"Male","primary","Middle 20%",1,"45-59",0
115831998,0.997798373504099,1,"Male","primary","Poorest 20%",1,"60 and older",0
175163650,2.41692670492018,1,"Female","primary","Second 20%",0,"60 and older",0
200868329,1.05405373805476,1,"Male","primary","Fourth 20%",1,"60 and older",0
177701273,0.522710164785724,0,"Female","secondary","Poorest 20%",0,"15-29",0
171169914,2.13612907379142,1,"Female","primary","Poorest 20%",0,"60 and older",0
146519201,0.336404053237946,1,"Male","secondary","Fourth 20%",0,"45-59",1
190059333,0.61400281502205,0,"Male","primary","Second 20%",0,"30-44",0
188159425,1.81756228571728,0,"Male","primary","Poorest 20%",1,"60 and older",0
183162267,2.05805530839887,1,"Female","primary","Middle 20%",1,"30-44",0
145383829,2.00139420407204,1,"Female","primary","Middle 20%",0,"15-29",0
111117915,0.583494463645915,1,"Female","secondary","Poorest 20%",0,"30-44",0
169907262,0.619427216813016,1,"Female","secondary","Middle 20%",0,"15-29",0
169997652,1.33727841565359,1,"Male","primary","Middle 20%",1,"15-29",1
173959661,0.780418997940954,1,"Female","secondary","Poorest 20%",0,"15-29",0
169800494,1.27969689853548,1,"Female","primary","Poorest 20%",0,"15-29",0
183791753,1.19424419774902,1,"Male","primary","Fourth 20%",1,"60 and older",0
116831528,1.38521169790006,1,"Male","primary","Poorest 20%",1,"15-29",1
161061154,0.743985650295693,1,"Male","secondary","Poorest 20%",1,"30-44",0
197799853,0.409114666793562,1,"Male","secondary","Richest 20%",1,"45-59",0
126331981,2.41692670489713,1,"Male","primary","Middle 20%",1,"15-29",0
136450732,0.217430070409543,1,"Male","tertiary","Poorest 20%",1,"15-29",0
185648329,0.753413707590372,1,"Female","secondary","Poorest 20%",0,"15-29",0
188637633,0.746689600636464,1,"Female","primary","Richest 20%",1,"45-59",0
120516349,0.901187625921924,1,"Male","secondary","Richest 20%",1,"45-59",1
119123760,1.13012056138556,1,"Female","secondary","Middle 20%",0,"15-29",0
155682003,1.24955546902837,1,"Male","primary","Middle 20%",1,"30-44",0
154976317,1.26715920778296,1,"Female","primary","Second 20%",0,"60 and older",0
183466113,0.950194347755047,1,"Female","primary","Poorest 20%",0,"45-59",0
176380635,1.12882767329707,1,"Female","primary","Fourth 20%",1,"30-44",0
166181725,1.63612061340399,1,"Male","secondary","Richest 20%",1,"15-29",1
149749787,1.62161352534318,1,"Female","secondary","Richest 20%",0,"15-29",1
165066845,0.95574181383447,1,"Male","secondary","Richest 20%",1,"15-29",1
146472816,0.889825625627882,0,"Male","tertiary","Richest 20%",0,"15-29",0
162807407,1.03029244725847,1,"Female","tertiary","Fourth 20%",1,"15-29",1
161088497,0.775187295450396,1,"Male","primary","Fourth 20%",1,"15-29",1
140385981,1.58351367885322,1,"Male","primary","Poorest 20%",1,"60 and older",0
158371228,0.73771995957015,1,"Female","primary","Poorest 20%",0,"30-44",1
136963204,0.837385460799648,1,"Male","secondary","Richest 20%",1,"15-29",1
112534192,0.971495780593406,1,"Male","secondary","Fourth 20%",0,"15-29",1
174366089,0.837385460799648,1,"Male","secondary","Richest 20%",1,"15-29",1
191146992,1.87526882247141,1,"Male","primary","Fourth 20%",1,"45-59",1
155427685,0.572487208194761,1,"Female","primary","Fourth 20%",1,"45-59",0
159534336,1.00023617114849,0,"Female","primary","Poorest 20%",0,"30-44",0
162837806,2.06826200560897,1,"Female","primary","Poorest 20%",0,"60 and older",0
171174762,0.721422777353616,1,"Female","primary","Second 20%",0,"15-29",0
194808993,1.67413138272878,0,"Female","primary","Middle 20%",0,"15-29",0
151160432,0.873866633780902,1,"Male","tertiary","Richest 20%",1,"15-29",1
156287445,1.27432241844596,0,"Male","secondary","Fourth 20%",1,"15-29",1
189361982,1.68954561037727,0,"Female","primary","Poorest 20%",0,"60 and older",0
114862988,2.41692670492018,1,"Female","primary","Poorest 20%",0,"15-29",0
195107782,0.217827567767936,0,"Male","tertiary","Fourth 20%",0,"15-29",0
149757289,0.896137706840224,1,"Male","secondary","Richest 20%",1,"15-29",1
155224280,1.28064635705972,1,"Female","primary","Poorest 20%",1,"45-59",0
148755316,0.752273611566791,1,"Male","secondary","Poorest 20%",0,"15-29",1
187548101,0.780418997940954,1,"Female","secondary","Fourth 20%",0,"15-29",0
196424513,0.335901500314226,1,"Male","tertiary","Richest 20%",1,"15-29",1
121534488,1.23359572221716,1,"Female","primary","Poorest 20%",1,"45-59",0
121608437,1.05065981496669,1,"Female","primary","Middle 20%",1,"30-44",0
157476411,0.448247268526078,1,"Female","primary","Richest 20%",1,"30-44",0
120582146,0.851188501038022,1,"Male","secondary","Richest 20%",1,"15-29",1
163144274,0.908346340743822,1,"Female","secondary","Fourth 20%",1,"30-44",1
185199903,0.571620897450692,0,"Male","primary","Poorest 20%",1,"45-59",0
187538662,0.776205666835788,1,"Female","primary","Richest 20%",0,"45-59",0
127357771,0.971495780593406,1,"Male","secondary","Richest 20%",0,"15-29",1
168607940,1.11833951970428,1,"Male","primary","Middle 20%",0,"45-59",0
157320867,1.71795112612046,1,"Female","secondary","Second 20%",0,"15-29",1
166683611,1.12016159593116,1,"Female","secondary","Richest 20%",0,"15-29",1
148957974,0.928791523549065,1,"Female","tertiary","Richest 20%",1,"45-59",1
181673675,0.56182215196213,1,"Male","secondary","Second 20%",1,"30-44",0
206340845,0.589379757420132,1,"Male","tertiary","Richest 20%",1,"30-44",1
144963870,1.32107616683668,1,"Male","secondary","Fourth 20%",0,"60 and older",0
187604664,0.217430070409543,1,"Male","secondary","Fourth 20%",0,"45-59",0
171800903,1.69324150994561,1,"Female","primary","Poorest 20%",1,"15-29",0
185576478,2.41692670492018,1,"Female","primary","Second 20%",1,"30-44",0
166655382,1.29820892644277,1,"Female","primary","Second 20%",1,"15-29",0
122794756,0.72554432547267,1,"Male","secondary","Poorest 20%",1,"30-44",0
122851219,2.41692670492018,1,"Female","primary","Middle 20%",0,"15-29",0
136275743,0.564205208675093,1,"Male","secondary","Fourth 20%",1,"15-29",0
207793504,0.589379757420132,1,"Male","tertiary","Richest 20%",1,"30-44",1
160759090,1.02635110560931,1,"Male","secondary","Richest 20%",0,"45-59",1
154378730,0.474266948885109,1,"Female","secondary","Middle 20%",0,"30-44",1
171526465,0.398869563100695,1,"Male","secondary","Poorest 20%",1,"15-29",0
142089394,0.290980026271106,1,"Male","secondary","Poorest 20%",1,"30-44",0
200116232,1.62180104136344,1,"Male","primary","Middle 20%",1,"15-29",0
207541169,0.935628202888797,0,"Female","primary","Fourth 20%",1,"45-59",0
203709761,0.580287963856643,1,"Male","secondary","Richest 20%",1,"15-29",1
209815867,0.858730812292141,1,"Female","primary","Second 20%",0,"45-59",0
173083829,1.84375005901073,1,"Female","primary","Second 20%",1,"30-44",0
137635112,1.23579496845966,1,"Male","secondary","Richest 20%",0,"15-29",1
155244765,1.97559763840765,1,"Female","primary","Second 20%",1,"15-29",0
190746767,1.34725254697428,1,"Male","secondary","Fourth 20%",1,"45-59",0
193255120,1.84214549598559,1,"Female","primary","Richest 20%",1,"30-44",1
183575638,1.21397644870823,1,"Male","primary","Richest 20%",1,"45-59",0
164327649,0.764162724686979,1,"Female","primary","Second 20%",1,"30-44",0
120325460,1.08091650499653,1,"Male","secondary","Richest 20%",1,"30-44",1
187625417,0.581273310824842,1,"Male","primary","Second 20%",1,"45-59",0
